# CSV-File created with merge-csv.com
# -----------------------------------------------------------

DesignName,ParticipantID,TrialID,Block1,OC,VV,Time,errorCount
Preattentive,1,1,1,High,Colour,850,0
Preattentive,1,2,1,High,Colour,1110,0
Preattentive,1,3,1,High,Colour,1660,0
Preattentive,1,4,1,High,Colour,2020,0
Preattentive,1,5,2,High,Colour_and_Size,5390,1
Preattentive,1,6,2,High,Colour_and_Size,30440,0
Preattentive,1,7,2,High,Colour_and_Size,36570,1
Preattentive,1,8,2,High,Colour_and_Size,23640,0
Preattentive,1,9,3,Low,Colour_and_Size,24180,0
Preattentive,1,10,3,Low,Colour_and_Size,24220,0
Preattentive,1,11,3,Low,Colour_and_Size,26900,0
Preattentive,1,12,3,Low,Colour_and_Size,15200,0
Preattentive,1,13,4,Low,Size,9320,0
Preattentive,1,14,4,Low,Size,9160,0
Preattentive,1,15,4,Low,Size,9000,0
Preattentive,1,16,4,Low,Size,8570,0
Preattentive,1,17,5,Medium,Colour,9210,0
Preattentive,1,18,5,Medium,Colour,9390,0
Preattentive,1,19,5,Medium,Colour,10070,0
Preattentive,1,20,5,Medium,Colour,12080,0
Preattentive,1,21,6,Medium,Size,14890,0
Preattentive,1,22,6,Medium,Size,14250,0
Preattentive,1,23,6,Medium,Size,12460,0
Preattentive,1,24,6,Medium,Size,16200,0
Preattentive,1,25,7,Medium,Colour_and_Size,46390,1
Preattentive,1,26,7,Medium,Colour_and_Size,63020,0
Preattentive,1,27,7,Medium,Colour_and_Size,84680,0
Preattentive,1,28,7,Medium,Colour_and_Size,69540,0
Preattentive,1,29,8,Low,Colour,17080,0
Preattentive,1,30,8,Low,Colour,18560,0
Preattentive,1,31,8,Low,Colour,16590,0
Preattentive,1,32,8,Low,Colour,17010,0
Preattentive,1,33,9,High,Size,18670,0
Preattentive,1,34,9,High,Size,19900,0
Preattentive,1,35,9,High,Size,17900,0
Preattentive,1,36,9,High,Size,19390,0
Preattentive,2,37,1,High,Size,680,0
Preattentive,2,38,1,High,Size,950,0
Preattentive,2,39,1,High,Size,1130,0
Preattentive,2,40,1,High,Size,1470,1
Preattentive,2,41,2,Low,Colour,1470,0
Preattentive,2,42,2,Low,Colour,1950,0
Preattentive,2,43,2,Low,Colour,2610,0
Preattentive,2,44,2,Low,Colour,2780,0
Preattentive,2,45,3,Medium,Colour,2890,0
Preattentive,2,46,3,Medium,Colour,2980,0
Preattentive,2,47,3,Medium,Colour,3790,0
Preattentive,2,48,3,Medium,Colour,4020,0
Preattentive,2,49,4,Low,Colour_and_Size,3920,0
Preattentive,2,50,4,Low,Colour_and_Size,4820,0
Preattentive,2,51,4,Low,Colour_and_Size,4640,0
Preattentive,2,52,4,Low,Colour_and_Size,5130,0
Preattentive,2,53,5,Medium,Size,5030,0
Preattentive,2,54,5,Medium,Size,6340,0
Preattentive,2,55,5,Medium,Size,5390,0
Preattentive,2,56,5,Medium,Size,6190,0
Preattentive,2,57,6,Medium,Colour_and_Size,5980,0
Preattentive,2,58,6,Medium,Colour_and_Size,63820,2
Preattentive,2,59,6,Medium,Colour_and_Size,9110,0
Preattentive,2,60,6,Medium,Colour_and_Size,7870,0
Preattentive,2,61,7,High,Colour,6980,0
Preattentive,2,62,7,High,Colour,9270,0
Preattentive,2,63,7,High,Colour,11090,0
Preattentive,2,64,7,High,Colour,11060,0
Preattentive,2,65,8,Low,Size,13360,0
Preattentive,2,66,8,Low,Size,11750,0
Preattentive,2,67,8,Low,Size,12250,0
Preattentive,2,68,8,Low,Size,14210,0
Preattentive,2,69,9,High,Colour_and_Size,26570,1
Preattentive,2,70,9,High,Colour_and_Size,71290,0
Preattentive,2,71,9,High,Colour_and_Size,55850,0
Preattentive,2,72,9,High,Colour_and_Size,69550,0
Preattentive,3,73,1,High,Colour_and_Size,4090,0
Preattentive,3,74,1,High,Colour_and_Size,5790,0
Preattentive,3,75,1,High,Colour_and_Size,7030,0
Preattentive,3,76,1,High,Colour_and_Size,11500,0
Preattentive,3,77,2,Low,Size,4160,0
Preattentive,3,78,2,Low,Size,2170,0
Preattentive,3,79,2,Low,Size,2430,0
Preattentive,3,80,2,Low,Size,3980,0
Preattentive,3,81,3,Medium,Size,5350,0
Preattentive,3,82,3,Medium,Size,4470,0
Preattentive,3,83,3,Medium,Size,5060,0
Preattentive,3,84,3,Medium,Size,5330,0
Preattentive,3,85,4,Medium,Colour,6290,0
Preattentive,3,86,4,Medium,Colour,7190,0
Preattentive,3,87,4,Medium,Colour,7730,0
Preattentive,3,88,4,Medium,Colour,7160,0
Preattentive,3,89,5,Medium,Colour_and_Size,106690,0
Preattentive,3,90,5,Medium,Colour_and_Size,94020,0
Preattentive,3,91,5,Medium,Colour_and_Size,54870,0
Preattentive,3,92,5,Medium,Colour_and_Size,87140,0
Preattentive,3,93,6,High,Colour,20670,0
Preattentive,3,94,6,High,Colour,14020,0
Preattentive,3,95,6,High,Colour,23700,0
Preattentive,3,96,6,High,Colour,14380,0
