DesignName,ParticipantID,TrialID,Block1,OC,VV
Preattentive,1,1,1,High,Colour
Preattentive,1,2,1,High,Colour
Preattentive,1,3,1,High,Colour
Preattentive,1,4,1,High,Colour
Preattentive,1,5,2,High,Colour_and_Size
Preattentive,1,6,2,High,Colour_and_Size
Preattentive,1,7,2,High,Colour_and_Size
Preattentive,1,8,2,High,Colour_and_Size
Preattentive,1,9,3,Low,Colour_and_Size
Preattentive,1,10,3,Low,Colour_and_Size
Preattentive,1,11,3,Low,Colour_and_Size
Preattentive,1,12,3,Low,Colour_and_Size
Preattentive,1,13,4,Low,Size
Preattentive,1,14,4,Low,Size
Preattentive,1,15,4,Low,Size
Preattentive,1,16,4,Low,Size
Preattentive,1,17,5,Medium,Colour
Preattentive,1,18,5,Medium,Colour
Preattentive,1,19,5,Medium,Colour
Preattentive,1,20,5,Medium,Colour
Preattentive,1,21,6,Medium,Size
Preattentive,1,22,6,Medium,Size
Preattentive,1,23,6,Medium,Size
Preattentive,1,24,6,Medium,Size
Preattentive,1,25,7,Medium,Colour_and_Size
Preattentive,1,26,7,Medium,Colour_and_Size
Preattentive,1,27,7,Medium,Colour_and_Size
Preattentive,1,28,7,Medium,Colour_and_Size
Preattentive,1,29,8,Low,Colour
Preattentive,1,30,8,Low,Colour
Preattentive,1,31,8,Low,Colour
Preattentive,1,32,8,Low,Colour
Preattentive,1,33,9,High,Size
Preattentive,1,34,9,High,Size
Preattentive,1,35,9,High,Size
Preattentive,1,36,9,High,Size
Preattentive,2,37,1,High,Size
Preattentive,2,38,1,High,Size
Preattentive,2,39,1,High,Size
Preattentive,2,40,1,High,Size
Preattentive,2,41,2,Low,Colour
Preattentive,2,42,2,Low,Colour
Preattentive,2,43,2,Low,Colour
Preattentive,2,44,2,Low,Colour
Preattentive,2,45,3,Medium,Colour
Preattentive,2,46,3,Medium,Colour
Preattentive,2,47,3,Medium,Colour
Preattentive,2,48,3,Medium,Colour
Preattentive,2,49,4,Low,Colour_and_Size
Preattentive,2,50,4,Low,Colour_and_Size
Preattentive,2,51,4,Low,Colour_and_Size
Preattentive,2,52,4,Low,Colour_and_Size
Preattentive,2,53,5,Medium,Size
Preattentive,2,54,5,Medium,Size
Preattentive,2,55,5,Medium,Size
Preattentive,2,56,5,Medium,Size
Preattentive,2,57,6,Medium,Colour_and_Size
Preattentive,2,58,6,Medium,Colour_and_Size
Preattentive,2,59,6,Medium,Colour_and_Size
Preattentive,2,60,6,Medium,Colour_and_Size
Preattentive,2,61,7,High,Colour
Preattentive,2,62,7,High,Colour
Preattentive,2,63,7,High,Colour
Preattentive,2,64,7,High,Colour
Preattentive,2,65,8,Low,Size
Preattentive,2,66,8,Low,Size
Preattentive,2,67,8,Low,Size
Preattentive,2,68,8,Low,Size
Preattentive,2,69,9,High,Colour_and_Size
Preattentive,2,70,9,High,Colour_and_Size
Preattentive,2,71,9,High,Colour_and_Size
Preattentive,2,72,9,High,Colour_and_Size
Preattentive,3,73,1,High,Colour_and_Size
Preattentive,3,74,1,High,Colour_and_Size
Preattentive,3,75,1,High,Colour_and_Size
Preattentive,3,76,1,High,Colour_and_Size
Preattentive,3,77,2,Low,Size
Preattentive,3,78,2,Low,Size
Preattentive,3,79,2,Low,Size
Preattentive,3,80,2,Low,Size
Preattentive,3,81,3,Medium,Size
Preattentive,3,82,3,Medium,Size
Preattentive,3,83,3,Medium,Size
Preattentive,3,84,3,Medium,Size
Preattentive,3,85,4,Medium,Colour
Preattentive,3,86,4,Medium,Colour
Preattentive,3,87,4,Medium,Colour
Preattentive,3,88,4,Medium,Colour
Preattentive,3,89,5,Medium,Colour_and_Size
Preattentive,3,90,5,Medium,Colour_and_Size
Preattentive,3,91,5,Medium,Colour_and_Size
Preattentive,3,92,5,Medium,Colour_and_Size
Preattentive,3,93,6,High,Colour
Preattentive,3,94,6,High,Colour
Preattentive,3,95,6,High,Colour
Preattentive,3,96,6,High,Colour
Preattentive,3,97,7,High,Size
Preattentive,3,98,7,High,Size
Preattentive,3,99,7,High,Size
Preattentive,3,100,7,High,Size
Preattentive,3,101,8,Low,Colour_and_Size
Preattentive,3,102,8,Low,Colour_and_Size
Preattentive,3,103,8,Low,Colour_and_Size
Preattentive,3,104,8,Low,Colour_and_Size
Preattentive,3,105,9,Low,Colour
Preattentive,3,106,9,Low,Colour
Preattentive,3,107,9,Low,Colour
Preattentive,3,108,9,Low,Colour
Preattentive,4,109,1,Low,Colour
Preattentive,4,110,1,Low,Colour
Preattentive,4,111,1,Low,Colour
Preattentive,4,112,1,Low,Colour
Preattentive,4,113,2,Low,Colour_and_Size
Preattentive,4,114,2,Low,Colour_and_Size
Preattentive,4,115,2,Low,Colour_and_Size
Preattentive,4,116,2,Low,Colour_and_Size
Preattentive,4,117,3,Medium,Colour_and_Size
Preattentive,4,118,3,Medium,Colour_and_Size
Preattentive,4,119,3,Medium,Colour_and_Size
Preattentive,4,120,3,Medium,Colour_and_Size
Preattentive,4,121,4,Medium,Size
Preattentive,4,122,4,Medium,Size
Preattentive,4,123,4,Medium,Size
Preattentive,4,124,4,Medium,Size
Preattentive,4,125,5,High,Colour
Preattentive,4,126,5,High,Colour
Preattentive,4,127,5,High,Colour
Preattentive,4,128,5,High,Colour
Preattentive,4,129,6,High,Size
Preattentive,4,130,6,High,Size
Preattentive,4,131,6,High,Size
Preattentive,4,132,6,High,Size
Preattentive,4,133,7,High,Colour_and_Size
Preattentive,4,134,7,High,Colour_and_Size
Preattentive,4,135,7,High,Colour_and_Size
Preattentive,4,136,7,High,Colour_and_Size
Preattentive,4,137,8,Medium,Colour
Preattentive,4,138,8,Medium,Colour
Preattentive,4,139,8,Medium,Colour
Preattentive,4,140,8,Medium,Colour
Preattentive,4,141,9,Low,Size
Preattentive,4,142,9,Low,Size
Preattentive,4,143,9,Low,Size
Preattentive,4,144,9,Low,Size
Preattentive,5,145,1,Low,Size
Preattentive,5,146,1,Low,Size
Preattentive,5,147,1,Low,Size
Preattentive,5,148,1,Low,Size
Preattentive,5,149,2,Medium,Colour
Preattentive,5,150,2,Medium,Colour
Preattentive,5,151,2,Medium,Colour
Preattentive,5,152,2,Medium,Colour
Preattentive,5,153,3,High,Colour
Preattentive,5,154,3,High,Colour
Preattentive,5,155,3,High,Colour
Preattentive,5,156,3,High,Colour
Preattentive,5,157,4,Medium,Colour_and_Size
Preattentive,5,158,4,Medium,Colour_and_Size
Preattentive,5,159,4,Medium,Colour_and_Size
Preattentive,5,160,4,Medium,Colour_and_Size
Preattentive,5,161,5,High,Size
Preattentive,5,162,5,High,Size
Preattentive,5,163,5,High,Size
Preattentive,5,164,5,High,Size
Preattentive,5,165,6,High,Colour_and_Size
Preattentive,5,166,6,High,Colour_and_Size
Preattentive,5,167,6,High,Colour_and_Size
Preattentive,5,168,6,High,Colour_and_Size
Preattentive,5,169,7,Low,Colour
Preattentive,5,170,7,Low,Colour
Preattentive,5,171,7,Low,Colour
Preattentive,5,172,7,Low,Colour
Preattentive,5,173,8,Medium,Size
Preattentive,5,174,8,Medium,Size
Preattentive,5,175,8,Medium,Size
Preattentive,5,176,8,Medium,Size
Preattentive,5,177,9,Low,Colour_and_Size
Preattentive,5,178,9,Low,Colour_and_Size
Preattentive,5,179,9,Low,Colour_and_Size
Preattentive,5,180,9,Low,Colour_and_Size
Preattentive,6,181,1,Low,Colour_and_Size
Preattentive,6,182,1,Low,Colour_and_Size
Preattentive,6,183,1,Low,Colour_and_Size
Preattentive,6,184,1,Low,Colour_and_Size
Preattentive,6,185,2,Medium,Size
Preattentive,6,186,2,Medium,Size
Preattentive,6,187,2,Medium,Size
Preattentive,6,188,2,Medium,Size
Preattentive,6,189,3,High,Size
Preattentive,6,190,3,High,Size
Preattentive,6,191,3,High,Size
Preattentive,6,192,3,High,Size
Preattentive,6,193,4,High,Colour
Preattentive,6,194,4,High,Colour
Preattentive,6,195,4,High,Colour
Preattentive,6,196,4,High,Colour
Preattentive,6,197,5,High,Colour_and_Size
Preattentive,6,198,5,High,Colour_and_Size
Preattentive,6,199,5,High,Colour_and_Size
Preattentive,6,200,5,High,Colour_and_Size
Preattentive,6,201,6,Low,Colour
Preattentive,6,202,6,Low,Colour
Preattentive,6,203,6,Low,Colour
Preattentive,6,204,6,Low,Colour
Preattentive,6,205,7,Low,Size
Preattentive,6,206,7,Low,Size
Preattentive,6,207,7,Low,Size
Preattentive,6,208,7,Low,Size
Preattentive,6,209,8,Medium,Colour_and_Size
Preattentive,6,210,8,Medium,Colour_and_Size
Preattentive,6,211,8,Medium,Colour_and_Size
Preattentive,6,212,8,Medium,Colour_and_Size
Preattentive,6,213,9,Medium,Colour
Preattentive,6,214,9,Medium,Colour
Preattentive,6,215,9,Medium,Colour
Preattentive,6,216,9,Medium,Colour
Preattentive,7,217,1,Medium,Colour
Preattentive,7,218,1,Medium,Colour
Preattentive,7,219,1,Medium,Colour
Preattentive,7,220,1,Medium,Colour
Preattentive,7,221,2,Medium,Colour_and_Size
Preattentive,7,222,2,Medium,Colour_and_Size
Preattentive,7,223,2,Medium,Colour_and_Size
Preattentive,7,224,2,Medium,Colour_and_Size
Preattentive,7,225,3,High,Colour_and_Size
Preattentive,7,226,3,High,Colour_and_Size
Preattentive,7,227,3,High,Colour_and_Size
Preattentive,7,228,3,High,Colour_and_Size
Preattentive,7,229,4,High,Size
Preattentive,7,230,4,High,Size
Preattentive,7,231,4,High,Size
Preattentive,7,232,4,High,Size
Preattentive,7,233,5,Low,Colour
Preattentive,7,234,5,Low,Colour
Preattentive,7,235,5,Low,Colour
Preattentive,7,236,5,Low,Colour
Preattentive,7,237,6,Low,Size
Preattentive,7,238,6,Low,Size
Preattentive,7,239,6,Low,Size
Preattentive,7,240,6,Low,Size
Preattentive,7,241,7,Low,Colour_and_Size
Preattentive,7,242,7,Low,Colour_and_Size
Preattentive,7,243,7,Low,Colour_and_Size
Preattentive,7,244,7,Low,Colour_and_Size
Preattentive,7,245,8,High,Colour
Preattentive,7,246,8,High,Colour
Preattentive,7,247,8,High,Colour
Preattentive,7,248,8,High,Colour
Preattentive,7,249,9,Medium,Size
Preattentive,7,250,9,Medium,Size
Preattentive,7,251,9,Medium,Size
Preattentive,7,252,9,Medium,Size
Preattentive,8,253,1,Medium,Size
Preattentive,8,254,1,Medium,Size
Preattentive,8,255,1,Medium,Size
Preattentive,8,256,1,Medium,Size
Preattentive,8,257,2,High,Colour
Preattentive,8,258,2,High,Colour
Preattentive,8,259,2,High,Colour
Preattentive,8,260,2,High,Colour
Preattentive,8,261,3,Low,Colour
Preattentive,8,262,3,Low,Colour
Preattentive,8,263,3,Low,Colour
Preattentive,8,264,3,Low,Colour
Preattentive,8,265,4,High,Colour_and_Size
Preattentive,8,266,4,High,Colour_and_Size
Preattentive,8,267,4,High,Colour_and_Size
Preattentive,8,268,4,High,Colour_and_Size
Preattentive,8,269,5,Low,Size
Preattentive,8,270,5,Low,Size
Preattentive,8,271,5,Low,Size
Preattentive,8,272,5,Low,Size
Preattentive,8,273,6,Low,Colour_and_Size
Preattentive,8,274,6,Low,Colour_and_Size
Preattentive,8,275,6,Low,Colour_and_Size
Preattentive,8,276,6,Low,Colour_and_Size
Preattentive,8,277,7,Medium,Colour
Preattentive,8,278,7,Medium,Colour
Preattentive,8,279,7,Medium,Colour
Preattentive,8,280,7,Medium,Colour
Preattentive,8,281,8,High,Size
Preattentive,8,282,8,High,Size
Preattentive,8,283,8,High,Size
Preattentive,8,284,8,High,Size
Preattentive,8,285,9,Medium,Colour_and_Size
Preattentive,8,286,9,Medium,Colour_and_Size
Preattentive,8,287,9,Medium,Colour_and_Size
Preattentive,8,288,9,Medium,Colour_and_Size
Preattentive,9,289,1,Medium,Colour_and_Size
Preattentive,9,290,1,Medium,Colour_and_Size
Preattentive,9,291,1,Medium,Colour_and_Size
Preattentive,9,292,1,Medium,Colour_and_Size
Preattentive,9,293,2,High,Size
Preattentive,9,294,2,High,Size
Preattentive,9,295,2,High,Size
Preattentive,9,296,2,High,Size
Preattentive,9,297,3,Low,Size
Preattentive,9,298,3,Low,Size
Preattentive,9,299,3,Low,Size
Preattentive,9,300,3,Low,Size
Preattentive,9,301,4,Low,Colour
Preattentive,9,302,4,Low,Colour
Preattentive,9,303,4,Low,Colour
Preattentive,9,304,4,Low,Colour
Preattentive,9,305,5,Low,Colour_and_Size
Preattentive,9,306,5,Low,Colour_and_Size
Preattentive,9,307,5,Low,Colour_and_Size
Preattentive,9,308,5,Low,Colour_and_Size
Preattentive,9,309,6,Medium,Colour
Preattentive,9,310,6,Medium,Colour
Preattentive,9,311,6,Medium,Colour
Preattentive,9,312,6,Medium,Colour
Preattentive,9,313,7,Medium,Size
Preattentive,9,314,7,Medium,Size
Preattentive,9,315,7,Medium,Size
Preattentive,9,316,7,Medium,Size
Preattentive,9,317,8,High,Colour_and_Size
Preattentive,9,318,8,High,Colour_and_Size
Preattentive,9,319,8,High,Colour_and_Size
Preattentive,9,320,8,High,Colour_and_Size
Preattentive,9,321,9,High,Colour
Preattentive,9,322,9,High,Colour
Preattentive,9,323,9,High,Colour
Preattentive,9,324,9,High,Colour
