DesignName,ParticipantID,TrialID,Block1,OC,VV,visualSearchTime,errorCount
Preattentive,4,109,1,Low,Colour,1410,0
Preattentive,4,110,1,Low,Colour,1250,0
Preattentive,4,111,1,Low,Colour,1580,0
Preattentive,4,112,1,Low,Colour,1550,0
Preattentive,4,113,2,Low,Colour_and_Size,7550,1
Preattentive,4,114,2,Low,Colour_and_Size,6430,0
Preattentive,4,115,2,Low,Colour_and_Size,7660,0
Preattentive,4,116,2,Low,Colour_and_Size,13720,0
Preattentive,4,117,3,Medium,Colour_and_Size,18550,0
Preattentive,4,118,3,Medium,Colour_and_Size,18700,0
Preattentive,4,119,3,Medium,Colour_and_Size,15110,0
Preattentive,4,120,3,Medium,Colour_and_Size,28720,0
Preattentive,4,121,4,Medium,Size,7540,0
Preattentive,4,122,4,Medium,Size,7090,0
Preattentive,4,123,4,Medium,Size,7470,0
Preattentive,4,124,4,Medium,Size,8510,0
Preattentive,4,125,5,High,Colour,8830,0
Preattentive,4,126,5,High,Colour,8250,0
Preattentive,4,127,5,High,Colour,7870,0
Preattentive,4,128,5,High,Colour,10260,0
Preattentive,4,129,6,High,Size,9630,0
Preattentive,4,130,6,High,Size,10770,0
Preattentive,4,131,6,High,Size,12190,0
Preattentive,4,132,6,High,Size,12830,0
Preattentive,4,133,7,High,Colour_and_Size,58210,0
Preattentive,4,134,7,High,Colour_and_Size,34000,0
Preattentive,4,135,7,High,Colour_and_Size,94630,0
Preattentive,4,136,7,High,Colour_and_Size,42450,0
Preattentive,4,137,8,Medium,Colour,16420,0
Preattentive,4,138,8,Medium,Colour,15390,0
Preattentive,4,139,8,Medium,Colour,16240,0
Preattentive,4,140,8,Medium,Colour,17770,0
Preattentive,4,141,9,Low,Size,17670,0
Preattentive,4,142,9,Low,Size,17670,0
Preattentive,4,143,9,Low,Size,25650,0
Preattentive,4,144,9,Low,Size,20410,0
